GEOID,Total population,White,Black,Asian,Hispanic
36081051700,1816,1256,0,128,432
36081051800,2602,5,2353,6,101
36081052000,1457,34,1193,0,71
36081052100,2059,1280,26,193,537
36081052200,1965,0,1575,169,61
36081052400,2309,0,1907,82,240
36081052600,2393,144,1677,55,326
36081052800,1543,0,1264,21,55
36081053000,2662,47,2470,0,79
36081053100,3638,1948,0,304,1173
36081053200,2245,5,1669,2,356
36081053401,2048,15,1682,0,343
36081053601,2073,84,1331,131,519
36081053800,1656,5,1304,121,115
36081053901,4427,1265,111,815,1993
36081053902,170,170,0,0,0
36081054000,4214,22,2256,350,1002
36081054200,5999,131,1498,1312,1508
36081054500,4061,1262,29,212,2463
36081054700,5163,971,133,804,3219
36081054800,2635,30,549,1410,308
36081054900,6139,1195,104,795,4004
36081055100,4466,1683,305,416,1904
36081055200,3016,175,439,1023,935
36081055300,3114,387,84,508,2038
36081055400,2786,353,185,1453,628
36081055500,2430,413,117,120,1683
36081055600,2580,113,218,861,1048
36081055700,4289,1582,171,196,2318
36081055800,1999,132,195,537,744
36081055900,1149,301,24,70,740
36081056200,1573,312,196,675,326
36081056500,1739,293,59,49,1270
36081056600,1454,106,433,399,190
36081056700,5430,1585,70,61,3714
36081057700,3641,1764,7,28,1824
36081057900,1591,903,0,32,620
36081058200,5440,119,4132,248,430
36081058500,4737,2647,126,349,1520
36081058700,3532,2582,72,116,724
36081058900,5053,2514,68,208,2263
36081059000,1401,217,885,27,144
36081059100,5735,2339,85,232,2756
36081059300,4274,2660,35,198,1350
36081059400,1871,32,1715,0,74
36081059501,1929,1432,0,343,154
36081059600,1531,33,1342,2,133
36081059800,1882,37,1723,0,79
36081059900,1231,697,9,102,389
36081060000,1118,4,949,0,46
36081060600,1222,9,1132,0,32
36081060800,1536,67,1434,0,17
36081061000,1528,28,1434,0,23
36081061200,2204,8,2045,35,17
36081061400,1493,36,1307,9,92
36081061601,2735,45,2441,0,235
36081061602,1111,40,859,35,94
36081061800,1886,46,1459,66,270
36081061900,3657,2977,0,181,462
36081062300,2210,1518,133,0,544
36081062500,2388,1519,26,30,796
36081062600,3106,17,2474,99,395
36081062700,2861,1374,2,118,1333
36081062900,3494,1679,42,542,1222
36081063200,2596,27,2404,0,47
36081063301,1562,984,0,44,534
36081064101,2537,1531,5,357,543
36081064500,2001,863,36,405,597
36081064600,3528,26,3232,28,119
36081065000,2915,46,2757,0,32
36081065401,3867,85,2773,99,634
36081065600,4754,413,3417,84,727
36081065702,1376,874,0,28,403
36081065703,3057,2094,20,105,238
36081066000,3365,159,2524,71,465
36081066301,2940,2108,0,600,151
36081066402,2593,32,2413,1,98
36081066403,5963,375,5060,30,275
36081066701,2894,1567,0,361,966
36081067100,2684,1792,0,570,301
36081067700,1934,1679,0,121,118
36081067900,4812,1667,31,680,2434
36081068200,1141,0,999,22,111
36081068300,4332,353,326,2048,1508
36081069300,3119,1011,96,907,989
36081069500,2381,788,95,1135,311
36081069701,4299,1256,215,1493,1154
36081069702,4351,1977,17,1847,476
36081070300,2045,644,34,662,553
36081070700,2755,1382,6,914,377
36081070900,3161,1379,63,1008,327
36081071303,5854,3209,87,1156,1064
36081071304,6275,3548,22,1651,529
36081071305,5108,2466,159,1592,843
36081071701,5438,3063,248,1452,544
36081071900,2911,1225,114,850,445
36081072100,4781,2119,38,1565,816
36081072300,2189,1059,140,786,167
36081072900,1471,671,1,595,178
36081073700,2233,1231,20,623,230
36081073900,5597,2544,237,1571,542
36081074100,3131,1647,155,749,523
36081074300,4423,2328,103,1298,523
36081074500,3814,1942,280,693,541
36081074700,3540,1027,110,1344,945
36081075701,4877,2004,211,1850,578
36081075702,5866,3031,142,1824,712
36081077902,5062,4035,68,706,56
36081077903,3418,1500,42,1025,736
36081077904,6281,3783,147,1150,947
36081077905,2851,833,618,887,484
36081077906,3655,1889,225,1229,312
36081077907,3521,1881,296,151,1105
36081077908,3267,503,998,659,908
36081078800,2082,36,1298,45,175
36081079000,2745,35,1586,127,373
36081079200,2675,6,1421,429,315
36081079701,6505,492,142,5354,324
36081079702,4026,115,33,3417,431
36081079900,3401,248,0,2220,688
36081080301,3441,251,11,2359,820
36081080302,3567,652,1,2574,340
